id,signal_id,order_id,symbol,action,volume,price,sl,tp,comment,open_time,close_time,close_price,profit,status,probabilidad
1,1.0,,AMD,BUY,1.0,138.41,136.41,141.41,MrcashondoV2,2025-07-10T12:01:52.463706,,,,open,
2,35.0,,XAUUSD,BUY,2.2599999999857463,3323.94,3317.2,3335.04,MrcashondoV2,2025-07-10T12:47:26.210454,,,,open,
3,68.0,,XAGUSD,BUY,0.33,36.837,36.237,37.737,MrcashondoV2,2025-07-10T13:12:22.767220,,,,open,
4,69.0,,XAGUSD,BUY,0.33,36.837,36.237,37.737,MrcashondoV2,2025-07-10T13:12:23.865136,,,,open,
5,70.0,,XAUUSD,BUY,0.13,3325.84,3318.38,3338.13,MrcashondoV2,2025-07-10T13:12:24.951501,,,,open,
6,86.0,,XAGUSD,BUY,0.33,36.692,36.092,37.592,MrcashondoV2,2025-07-10T13:23:40.711515,,,,open,
7,88.0,,XAUUSD,BUY,0.19,3322.59,3317.26,3331.37,MrcashondoV2,2025-07-10T13:23:42.720687,,,,open,
8,89.0,,XAUUSD,BUY,0.12,3322.59,3314.57,3335.8,MrcashondoV2,2025-07-10T13:23:43.802397,,,,open,
9,102.0,,XAGUSD,BUY,0.33,36.816,36.216,37.716,MrcashondoV2,2025-07-10T13:38:59.580558,,,,open,
10,103.0,,XAGUSD,BUY,0.33,36.816,36.216,37.716,MrcashondoV2,2025-07-10T13:39:00.662620,,,,open,
11,105.0,,XAUUSD,BUY,0.2,3325.78,3320.82,3333.95,MrcashondoV2,2025-07-10T13:39:02.668934,,,,open,
12,129.0,,XAGUSD,SELL,0.33,36.534,37.134,35.634,MrcashondoV2,2025-07-10T13:54:29.441403,,,,open,
13,161.0,,XAGUSD,BUY,0.33,36.568,35.968,37.468,MrcashondoV2,2025-07-10T14:10:02.827478,,,,open,
14,199.0,,XAGUSD,SELL,0.33,36.532,37.132,35.632,MrcashondoV2,2025-07-10T14:25:41.902169,,,,open,
15,200.0,,XAUUSD,BUY,0.1,3316.78,3306.63,3333.49,MrcashondoV2,2025-07-10T14:25:43.329632,,,,open,
16,224.0,,XAGUSD,BUY,0.33,36.606,36.006,37.506,MrcashondoV2,2025-07-10T14:41:10.108386,,,,open,
17,229.0,,GBPJPY,SELL,0.02000000000000001,198.768,198.904,198.543,MrcashondoV2,2025-07-10T14:41:14.909334,,,,open,
18,256.0,,NZDUSD,SELL,0.09,0.60036,0.60143,0.59859,MrcashondoV2,2025-07-10T14:56:43.999598,,,,open,
19,257.0,,XAGUSD,BUY,0.33,36.619,36.019,37.519,MrcashondoV2,2025-07-10T14:56:45.080523,,,,open,
20,258.0,,XAGUSD,BUY,0.33,36.619,36.019,37.519,MrcashondoV2,2025-07-10T14:56:46.168466,,,,open,
21,263.0,,GBPJPY,SELL,0.02000000000000001,198.585,198.734,198.339,MrcashondoV2,2025-07-10T14:56:51.386646,,,,open,
22,278.0,,NZDUSD,BUY,0.09,0.60111,0.6,0.60295,MrcashondoV2,2025-07-10T15:12:09.565068,,,,open,
23,279.0,,XAGUSD,BUY,0.33,36.742,36.142,37.642,MrcashondoV2,2025-07-10T15:12:10.638885,,,,open,
24,298.0,,XAGUSD,BUY,0.33,36.783,36.183,37.683,MrcashondoV2,2025-07-10T15:27:33.107242,,,,open,
25,299.0,,XAUUSD,BUY,0.11,3320.94,3311.77,3336.05,MrcashondoV2,2025-07-10T15:27:34.207243,,,,open,
26,329.0,,NZDUSD,BUY,0.1,0.60136,0.60032,0.60308,MrcashondoV2,2025-07-10T15:43:07.214977,,,,open,
27,354.0,,NZDUSD,BUY,0.1,0.60182,0.60079,0.60351,MrcashondoV2,2025-07-10T15:58:34.482795,,,,open,
28,355.0,,XAGUSD,BUY,0.33,36.845,36.245,37.745,MrcashondoV2,2025-07-10T15:58:35.559335,,,,open,
29,371.0,,NZDUSD,BUY,0.1,0.60196,0.60096,0.60361,MrcashondoV2,2025-07-10T16:13:56.792767,,,,open,
30,438.0,63682414,NZDUSD,BUY,0.1,0.60255,0.60155,0.60405,MrcashondoV2,2025-07-10T18:08:06.506419,,,,open,
31,439.0,63682415,NZDUSD,BUY,0.1,0.60255,0.60155,0.60368,MrcashondoV2,2025-07-10T18:08:09.000455,,,,open,
32,440.0,63682416,AUDCAD,BUY,0.14,0.89924,0.89824,0.9004,MrcashondoV2,2025-07-10T18:08:11.592173,,,,open,
33,441.0,63682417,CADJPY,SELL,0.04000000000000003,106.973,107.078,106.799,MrcashondoV2,2025-07-10T18:08:14.116121,,,,open,
